customer_no,num_stb_last_5_years,num_yrs_donor,num_yrs_sub,num_yrs_stb,Donor_Category
198493,9,19,22,19,Under-Patron
198873,3,19,22,16,Under-Patron
200376,0,1,0,5,Under-Patron
200599,3,1,0,4,Under-Patron
200990,9,13,19,19,Under-Patron
202836,0,3,1,11,Under-Patron
203046,37,2,15,19,Under-Patron
203147,0,21,22,6,Under-Patron
203247,4,10,2,8,Under-Patron
206412,2,6,18,10,Under-Patron
207299,3,6,2,9,Under-Patron
207690,2,3,3,2,Under-Patron
207725,9,18,22,20,Under-Patron
208241,3,6,8,15,Under-Patron
208424,6,2,0,3,Under-Patron
209642,5,2,5,13,Under-Patron
209696,5,5,5,7,Under-Patron
209715,13,22,22,20,Under-Patron
210288,0,10,15,12,Under-Patron
210743,2,19,20,19,Under-Patron
211471,4,11,1,5,Under-Patron
211896,5,19,16,14,Under-Patron
212518,0,10,9,2,Under-Patron
212644,13,21,22,21,Under-Patron
213478,24,1,8,10,Under-Patron
213490,11,1,7,9,Under-Patron
213570,2,10,16,16,Under-Patron
213949,3,14,17,15,Under-Patron
214461,10,6,10,11,Under-Patron
214949,3,1,4,4,Under-Patron
215345,11,8,14,16,Under-Patron
215349,8,7,21,16,Under-Patron
215707,7,7,14,16,Under-Patron
216411,0,1,0,1,Under-Patron
217893,0,17,6,3,Under-Patron
217945,0,16,18,17,Under-Patron
218252,15,15,21,19,Under-Patron
218264,0,1,2,2,Under-Patron
218686,10,12,16,17,Under-Patron
218705,1,10,22,9,Under-Patron
219185,1,16,19,16,Under-Patron
219928,6,2,11,9,Under-Patron
220633,1,1,1,2,Under-Patron
220681,0,5,19,12,Under-Patron
220721,21,12,22,21,Under-Patron
221153,13,1,6,16,Under-Patron
221463,3,5,8,4,Under-Patron
221785,3,13,19,20,Under-Patron
222646,4,2,9,12,Under-Patron
223427,1,4,0,10,Under-Patron
223615,0,1,0,7,Under-Patron
223676,17,3,10,10,Under-Patron
223869,1,1,0,3,Under-Patron
223918,3,6,8,13,Under-Patron
224465,7,15,18,19,Under-Patron
224532,0,1,0,8,Under-Patron
225157,2,21,21,20,Under-Patron
225522,10,12,20,14,Under-Patron
226342,3,4,3,3,Under-Patron
226467,1,6,15,9,Under-Patron
226624,0,1,3,9,Under-Patron
227171,0,1,2,1,Under-Patron
227188,1,6,2,4,Under-Patron
227642,2,22,22,15,Under-Patron
227891,0,11,1,6,Under-Patron
228007,11,8,5,11,Under-Patron
228461,4,9,16,16,Under-Patron
229936,7,2,18,17,Under-Patron
230017,15,5,12,13,Under-Patron
230277,5,19,17,18,Under-Patron
230311,7,9,12,12,Under-Patron
230646,1,1,0,5,Under-Patron
230703,6,13,8,14,Under-Patron
230705,5,16,22,12,Under-Patron
230815,12,3,11,9,Under-Patron
231306,0,4,5,6,Under-Patron
232141,10,14,15,6,Under-Patron
232499,5,1,0,9,Under-Patron
