customer_no,Affinity_Rating,Capacity_Rating,PROscore,Frequency,Monetary,Propensity_Rating,Donor_Category
3206819,1,1,1,1,1,1,Under-Patron
3206828,1,2,2,1,1,3,Under-Patron
3206836,1,1,1,1,1,1,Under-Patron
3206847,1,2,1,1,1,1,Under-Patron
3206877,1,1,1,,,1,Under-Patron
3206884,1,1,1,,,1,Under-Patron
3206902,1,1,1,,,1,Under-Patron
3206905,1,2,1,,,1,Under-Patron
3206916,1,2,1,1,1,1,Under-Patron
3206957,4,1,3,1,1,4,Under-Patron
3206964,1,4,3,1,1,4,Under-Patron
3206994,1,1,1,,,1,Under-Patron
3207002,1,1,1,1,1,1,Under-Patron
3207013,1,1,1,,,1,Under-Patron
3207016,1,2,1,,,1,Under-Patron
3207023,1,4,2,,,1,Under-Patron
3207025,4,2,3,1,1,4,Under-Patron
3207031,4,4,4,1,1,4,Under-Patron
3207035,1,1,1,1,1,1,Under-Patron
3207094,1,4,2,1,1,1,Under-Patron
3207098,,,,,,,Under-Patron
3207105,1,4,3,1,1,4,Under-Patron
3207158,1,2,1,,,1,Under-Patron
3207195,1,2,2,,,2,Under-Patron
3207216,4,2,3,1,1,4,Under-Patron
3207220,1,1,1,1,1,1,Under-Patron
3207223,4,4,4,1,1,4,Under-Patron
3207231,1,1,1,2,1,1,Under-Patron
3207241,1,1,1,1,1,1,Under-Patron
3207254,1,4,2,1,1,2,Under-Patron
3207270,1,1,1,1,1,1,Under-Patron
3207294,1,1,1,,,1,Under-Patron
3207333,1,1,1,1,1,1,Under-Patron
3207353,1,1,1,,,1,Under-Patron
3207355,1,2,2,1,1,4,Under-Patron
3207356,1,1,1,1,1,1,Under-Patron
3207362,1,2,1,,,1,Under-Patron
3207438,1,1,1,1,1,1,Under-Patron
3207443,4,1,3,1,2,4,Under-Patron
3207448,4,2,3,,,4,Under-Patron
3207449,,,,,,,Under-Patron
3207471,1,1,1,,,1,Under-Patron
3207484,1,2,2,,,2,Under-Patron
3207501,1,1,1,,,1,Under-Patron
3207506,1,1,1,1,1,1,Under-Patron
3208290,1,1,1,1,1,1,Under-Patron
3208298,1,3,3,,,4,Under-Patron
3208305,1,1,1,,,1,Under-Patron
3208327,1,2,2,1,1,3,Under-Patron
3208349,3,3,3,1,1,4,Under-Patron
3208359,1,1,1,1,1,1,Under-Patron
3208362,1,1,1,1,1,1,Under-Patron
3208390,4,2,3,1,1,4,Under-Patron
3208407,1,1,1,,,1,Under-Patron
3208429,1,1,1,1,1,1,Under-Patron
3208473,1,1,2,1,1,3,Under-Patron
3208474,,,,,,,Under-Patron
3208517,1,2,2,,,2,Under-Patron
3208553,1,1,2,,,4,Under-Patron
3208554,1,2,1,,,1,Under-Patron
3208637,1,1,1,1,1,2,Under-Patron
3208669,4,4,4,,,4,Under-Patron
3208680,1,4,3,1,1,4,Under-Patron
3208693,1,2,2,1,1,4,Under-Patron
3208703,1,1,2,1,1,3,Under-Patron
3208708,1,1,2,1,1,3,Under-Patron
3208729,1,1,2,,,3,Under-Patron
3208749,3,1,2,,,2,Under-Patron
3208817,1,1,1,,,1,Under-Patron
3208831,1,1,1,,,1,Under-Patron
3208836,1,3,3,1,1,4,Under-Patron
3208843,1,2,1,1,1,1,Under-Patron
3208863,3,2,3,1,1,3,Under-Patron
3208911,3,4,4,1,1,4,Under-Patron
3208912,1,1,1,1,1,1,Under-Patron
3208960,1,1,1,1,1,1,Under-Patron
3208974,1,2,2,,,3,Under-Patron
3208992,1,1,1,,,1,Under-Patron
3208999,1,1,1,,,1,Under-Patron
3209018,1,2,1,1,1,1,Under-Patron
3209032,1,2,1,,,1,Under-Patron
3209039,1,2,1,1,1,1,Under-Patron
3209063,3,4,4,1,1,4,Under-Patron
3209069,1,1,1,1,1,1,Under-Patron
3209091,1,2,1,,,1,Under-Patron
3209101,1,1,1,1,1,1,Under-Patron
3209103,4,2,3,1,1,4,Under-Patron
3209135,3,2,3,1,1,3,Under-Patron
3209174,1,3,2,1,1,2,Under-Patron
3209208,1,1,1,,,1,Under-Patron
3209233,1,1,1,1,1,1,Under-Patron
3209238,1,1,1,1,1,1,Under-Patron
3209263,1,1,1,1,1,1,Under-Patron
3209267,1,2,1,,,1,Under-Patron
3209302,1,4,3,1,1,4,Under-Patron
3209307,1,1,1,1,1,1,Under-Patron
3209314,1,3,2,1,1,1,Under-Patron
3209321,1,1,2,1,1,3,Under-Patron
3209389,1,2,1,1,1,1,Under-Patron
3209390,1,2,1,1,1,1,Under-Patron
3209415,3,4,4,,,4,Under-Patron
3209420,1,2,1,,,1,Under-Patron
3209425,1,1,1,1,1,1,Under-Patron
3209459,1,1,1,,,1,Under-Patron
