customer_no,Days Since Last Ticket Order,Days Since Last Gift,Days Since Last Activity Date,Contribution_Last_Amount,Contribution_last_year_giving,Days since Last Contribution,Donor_Category
3218658,1069,1068,321,5,,1069,Under-Patron
3218701,569,1065,359,5,,1066,Under-Patron
3218703,1066,1065,359,25,,1066,Under-Patron
3218714,577,575,235,1,,577,Under-Patron
3218715,715,1065,321,6,,1066,Under-Patron
3218719,7,90,6,250,9250,91,Under-Patron
3218734,587,1065,359,34.5,,1066,Under-Patron
3218743,1065,1065,321,10.1,,1066,Under-Patron
3218744,48,831,44,8.75,,832,Under-Patron
3218746,347,214,22,100,112.6,215,Under-Patron
3218756,1065,1064,359,16.5,,1065,Under-Patron
3218785,307,610,22,2500,,611,Under-Patron
3218808,1062,1061,321,40,,1062,Under-Patron
3218827,913,411,22,150,,412,Under-Patron
3218836,841,840,359,100,,841,Under-Patron
3218837,1060,1057,321,15,,1058,Under-Patron
3218841,81,1033,7,43,,1034,Under-Patron
3218844,395,230,7,1500,1500,231,Under-Patron
3218870,824,153,153,71.6,,1057,Under-Patron
3218904,92,474,22,2500,,475,Under-Patron
3218908,694,693,81,1,,694,Under-Patron
3218918,306,1051,306,17.5,,1052,Under-Patron
3218945,990,988,321,27.75,,989,Under-Patron
3218966,45868,1049,321,60,,1050,Under-Patron
3218981,1049,622,321,50,,623,Under-Patron
3218987,668,635,321,30,,636,Under-Patron
3218990,1049,1049,359,10,,1049,Under-Patron
3219006,1048,1047,359,20,,1048,Under-Patron
3219007,1048,1047,359,24.5,,1048,Under-Patron
3219041,1047,839,321,50,,840,Under-Patron
3219046,1046,1045,359,50,,1045,Under-Patron
3219064,73,560,73,25,,561,Under-Patron
3219094,1043,1042,359,3,,1043,Under-Patron
3219127,162,854,36,14.75,,855,Under-Patron
3219131,1040,1038,359,17.5,,1038,Under-Patron
3219165,481,480,158,5,,481,Under-Patron
3219212,357,335,35,25,25,336,Under-Patron
3219230,279,572,27,1,,573,Under-Patron
3219248,1033,1033,359,14.7,,1034,Under-Patron
3219259,1033,1008,321,9,,1009,Under-Patron
3219260,179,1030,179,25,,1031,Under-Patron
3219284,458,368,27,40,,369,Under-Patron
3219297,637,1030,321,19,,1031,Under-Patron
3219307,716,306,22,10,10,307,Under-Patron
3219341,1030,365,159,50,,366,Under-Patron
3219344,469,1029,35,20,,1030,Under-Patron
3219358,45868,911,489,32.5,,912,Under-Patron
3219368,1029,1029,321,25.5,,1030,Under-Patron
3219369,1029,1029,321,5,,1030,Under-Patron
3219382,101,1028,101,6,,1029,Under-Patron
3219391,587,587,235,15,,587,Under-Patron
3219404,1028,1028,321,18.7,,1029,Under-Patron
3219410,358,610,7,12.5,,611,Under-Patron
3219414,1028,1022,321,40,,1023,Under-Patron
3219419,1024,1022,321,60,,1023,Under-Patron
3219420,25,1022,25,5.75,,1023,Under-Patron
3219458,67,560,67,10,,561,Under-Patron
3219459,474,585,235,25,,586,Under-Patron
3219461,307,935,307,26,,936,Under-Patron
3219467,1027,1022,321,34.5,,1023,Under-Patron
3219486,1026,1022,321,23,,1023,Under-Patron
3219510,461,460,39,10,,461,Under-Patron
3219551,45868,309,22,250,250,310,Under-Patron
3219560,801,799,321,30,,800,Under-Patron
3219579,1022,1021,321,5.55,,1022,Under-Patron
3219608,660,659,321,50,,660,Under-Patron
3219618,1019,974,7,1000,,975,Under-Patron
3219625,1021,1020,321,15.25,,1021,Under-Patron
3219678,480,477,35,10,,478,Under-Patron
3219685,1019,1016,321,16.7,,1017,Under-Patron
3219696,1018,1016,321,2,,1017,Under-Patron
3219702,68,64,22,17,217,64,Under-Patron
3219709,344,1016,321,10,,1017,Under-Patron
3219724,1017,1016,321,17.5,,1017,Under-Patron
3219729,118,118,22,105,105,118,Under-Patron
3219733,1017,1016,321,8,,1017,Under-Patron
3219818,1016,1015,321,12.5,,1016,Under-Patron
3219824,524,523,321,12.5,,524,Under-Patron
3219834,680,1015,291,52.5,,1016,Under-Patron
3219842,174,281,158,5,5,282,Under-Patron
3219867,295,294,158,28,28,295,Under-Patron
3219874,1015,1015,321,15,,1015,Under-Patron
3219922,1014,1013,321,19.9,,1014,Under-Patron
3219923,1014,1013,321,25,,1014,Under-Patron
3219975,1013,1012,321,61.4,,1013,Under-Patron
3219992,1013,315,235,15,15,316,Under-Patron
3220026,477,1007,321,13.75,,1008,Under-Patron
3220035,1012,1009,321,25.7,,1010,Under-Patron
3220042,1012,1009,321,25.5,,1010,Under-Patron
3220052,165,146,7,4000,59000,147,Under-Patron
3220073,1011,1009,321,10,,1010,Under-Patron
3220088,1011,1009,321,10,,1010,Under-Patron
3220091,546,600,235,5,,601,Under-Patron
3220099,706,705,321,13,,706,Under-Patron
3220116,1010,1009,321,51.5,,1010,Under-Patron
3220127,1010,1009,321,20.25,,1010,Under-Patron
3220184,133,35,22,250,250,36,Under-Patron
3220238,288,1007,281,11.5,,1008,Under-Patron
3220244,930,930,321,23.25,,930,Under-Patron
3220260,1007,1007,321,10,,1008,Under-Patron
3220267,1007,1007,321,15.75,,1008,Under-Patron
3220284,1007,1006,321,3,,1007,Under-Patron
3220293,1003,1002,187,10,,1003,Under-Patron
3220298,1007,1006,321,25.5,,1007,Under-Patron
3220322,1003,1002,321,5,,1003,Under-Patron
3220362,168,729,22,100,,730,Under-Patron
3220369,984,981,321,29.5,,982,Under-Patron
3220371,1005,1005,321,25,,1006,Under-Patron
3220372,96,1002,96,26.25,,1003,Under-Patron
3220394,452,1002,321,11,,1003,Under-Patron
3220422,208,207,138,10,10,208,Under-Patron
3220462,946,925,321,14,,926,Under-Patron
3220471,914,911,321,51.5,,912,Under-Patron
3220472,1003,1002,321,1,,1003,Under-Patron
3220479,1003,1002,321,56.25,,1003,Under-Patron
3220485,1003,1002,321,33.5,,1003,Under-Patron
3220490,456,452,35,1,,453,Under-Patron
3220506,1002,1002,321,15,,1003,Under-Patron
3220512,1002,974,321,4.5,,975,Under-Patron
3220544,1002,1001,321,11,,1002,Under-Patron
3220548,1001,1001,321,15,,1002,Under-Patron
